     NO.	    Tcal	  T-Tcal	       d
     161	0.944748	-0.086668	5487.299718
     162	0.944483	-0.086403	5521.595341
     163	0.944232	-0.086152	5555.890964
     164	0.943993	-0.085913	5590.186588
     165	0.943768	-0.085688	5624.482211
     166	0.943557	-0.085477	5658.777834
     167	0.943358	-0.085278	5693.073457
     168	0.943174	-0.085094	5727.369081
     169	0.943002	-0.084922	5761.664704
     170	0.942845	-0.084765	5795.960327
     171	0.942701	-0.084621	5830.255950
     172	0.942570	-0.084490	5864.551574
     173	0.942453	-0.084373	5898.847197
     174	0.942350	-0.084270	5933.142820
     175	0.942261	-0.084181	5967.438443
     176	0.942185	-0.084105	6001.734067
     177	0.942123	-0.084043	6036.029690
     178	0.942075	-0.083995	6070.325313
     179	0.942041	-0.083961	6104.620936
     180	0.942020	-0.083940	6138.916560
     181	0.942013	-0.083933	6173.212183
     182	0.942020	-0.083940	6207.507806
     183	0.942041	-0.083961	6241.803429
     184	0.942075	-0.083995	6276.099052
     185	0.942123	-0.084043	6310.394676
     186	0.942185	-0.084105	6344.690299
     187	0.942261	-0.084181	6378.985922
     188	0.942350	-0.084270	6413.281545
     189	0.942453	-0.084373	6447.577169
     190	0.942570	-0.084490	6481.872792
     191	0.942701	-0.084621	6516.168415
     192	0.942845	-0.084765	6550.464038
     193	0.943002	-0.084922	6584.759662
     194	0.943174	-0.085094	6619.055285
     195	0.943358	-0.085278	6653.350908
     196	0.943557	-0.085477	6687.646531
     197	0.943768	-0.085688	6721.942155
     198	0.943993	-0.085913	6756.237778
     199	0.944232	-0.086152	6790.533401
     200	0.944483	-0.086403	6824.829024
     201	0.944748	-0.086668	6859.124647
     202	0.945027	-0.086947	6893.420271
     203	0.945318	-0.087238	6927.715894
     204	0.945622	-0.087542	6962.011517
     205	0.945939	-0.087859	6996.307140
     206	0.946270	-0.088190	7030.602764
     207	0.946613	-0.088533	7064.898387
     208	0.946968	-0.088888	7099.194010
     209	0.947337	-0.089257	7133.489633
     210	0.947718	-0.089638	7167.785257
     211	0.948111	-0.090031	7202.080880
     212	0.948517	-0.090437	7236.376503
     213	0.948936	-0.090856	7270.672126
     214	0.949366	-0.091286	7304.967750
